Time,controller_network_latency.mean {controllerid: 2828},controller_network_latency.mean {controllerid: 2830},controller_network_latency.mean {controllerid: 2831},controller_network_latency.mean {controllerid: 2832},controller_network_latency.mean {controllerid: 2833},controller_network_latency.mean {controllerid: 2834},controller_network_latency.mean {controllerid: 2835},controller_network_latency.mean {controllerid: 2836},controller_network_latency.mean {controllerid: 2837},controller_network_latency.mean {controllerid: 2838},controller_network_latency.mean {controllerid: 2839},controller_network_latency.mean {controllerid: 2840},controller_network_latency.mean {controllerid: 2841},controller_network_latency.mean {controllerid: 2842},controller_network_latency.mean {controllerid: 2843},controller_network_latency.mean {controllerid: 2844},controller_network_latency.mean {controllerid: 2845},controller_network_latency.mean {controllerid: 2846},controller_network_latency.mean {controllerid: 2847},controller_network_latency.mean {controllerid: 2848},controller_network_latency.mean {controllerid: 2849},controller_network_latency.mean {controllerid: 2850},controller_network_latency.mean {controllerid: 2851},controller_network_latency.mean {controllerid: 2852},controller_network_latency.mean {controllerid: 2853},controller_network_latency.mean {controllerid: 2854},controller_network_latency.mean {controllerid: 2855},controller_network_latency.mean {controllerid: 2856},controller_network_latency.mean {controllerid: 2857},controller_network_latency.mean {controllerid: 2858},controller_network_latency.mean {controllerid: 2859},controller_network_latency.mean {controllerid: 2860},controller_network_latency.mean {controllerid: 2861},controller_network_latency.mean {controllerid: 4416},controller_network_latency.mean {controllerid: 8083},controller_network_latency.mean {controllerid: 8084}
1633288920000,39.968,5.279,7.437,111.728,,138.999,,6.113,8.328,10.101,7.813,10.838,8.26,6.979,,17.121,8.182,18.176,22.158,7.382,,,10.594,7.419,,6.087,,8.197,,6.911,,10.677,,5.886,5.557,
1633288980000,7.098,6.245,,7.133,6.434,17.174,8.246,16.888,8.109,8.032,,6.423,6.795,19.613,6.574,,6.79,,,8.463,7.443,8.54,,,5.428,7.873,,8.242,7.771,7.089,7.574,,8.01,5.508,6.134,5.522
1633289040000,9.381,5.534,6.965,18.007,6.991,6.272,8.518,7.139,6.554,,7.233,,,7.505,17.799,6.307,7.067,7.723,25.282,7.733,8.717,7.531,8.543,7.092,7.396,7.75,,,7.776,7.266,9.113,7.047,6.333,6.696,6.073,6.047
1633289100000,8.117,4.839,6.326,,7.877,,7.822,6.979,,10.008,7.959,6.576,7.462,,17.905,7.122,17.232,9.053,13.768,,8.562,7.612,8.27,6.608,7.205,6.585,,6.696,17.964,7.161,18.921,6.919,7.61,,4.598,6.446
1633289160000,,4.773,18.739,8.156,,7.451,19.79,,7.598,11.94,7.209,8.572,7.137,6.953,9.091,18.036,,83.801,23.064,7.858,7.661,9.642,7.344,8.391,8.037,,,7.678,7.925,,7.643,6.363,6.989,5.303,5.06,4.945
1633289220000,7.066,,7.524,19.597,7.296,7.599,,6.608,8.203,22.004,7.634,6.156,7.652,7.775,,7.359,8.962,18.63,14.204,7.791,,,8.719,9.371,,6.813,,18.752,,7.177,,,,4.976,,
1633289280000,7.953,5.18,,6.957,7.663,7.782,7.053,7.496,7.874,20.49,,8.119,6.636,7.341,7.416,,5.746,,,19.531,7.349,8.165,,,7.645,6.194,,7.709,6.873,6.506,9.762,9.802,6.235,6.791,5.566,5.248
1633289340000,6.873,4.079,6.091,20.182,6.668,,6.848,7.282,,,17.182,,,8.827,6.577,7,7.364,7.356,12.654,8.655,7.314,8.011,18.483,6.415,6.949,5.22,,,7.727,7.529,9.175,8.605,7.36,6.045,5.913,5.892
1633289400000,,5.836,28.637,,8.38,7.985,6.578,7.675,7.671,8.435,7.554,7.22,7.265,,7.719,7.565,6.856,156.107,13.695,,8.246,10.025,19.381,6.984,7.646,6.807,,8.014,6.932,8.049,19.027,7.922,9.038,,5.021,5.577
1633289460000,6.567,5.696,7.685,6.801,,7.663,6.483,,8.05,8.563,6.906,6.17,8.031,9.203,5.528,8.689,,7.698,11.684,9.446,,7.031,8.237,7.202,6.605,,,7.47,18.028,,6.483,7.133,6.465,7.109,5.456,5.913
1633289520000,5.838,,7.721,7.16,6.886,19.088,,10.623,8.175,7.589,6.126,6.686,8.494,7.566,,7.162,6.901,6.545,11.3,7.474,7.331,,22.117,7.415,,7.73,,8.855,,8.681,,,,6.187,,5.594
1633289580000,6.535,4.869,,8.059,7.99,8.058,7.259,9.65,20.102,8.2,,7.141,8.452,19.041,5.803,,7.768,,,18.521,8.167,7.421,,,7.185,6.603,,7.594,8.201,7.008,20.046,7.797,7.977,5.964,6.199,
1633289640000,7.383,6.591,7.659,7.926,20.296,,7.579,7.215,,,7.735,,,18.668,7.471,8.056,9.131,9.393,15.456,7.431,8.039,7.625,27.929,10.16,18.854,6.886,,,6.876,19.054,7.356,10.59,7.961,5.984,6.049,6.814
1633289700000,,4.913,17.342,,8.721,7.237,120.698,,7.228,8.091,7.406,8.264,7.311,,6.197,6.125,7.449,6.937,11.545,,7.56,8.285,10.198,6.728,7.528,,,7.193,17.023,17.773,20.202,6.679,6.668,5.36,5.052,5.055
1633289760000,7.365,4.731,7.452,6.907,,18.41,6.146,44.856,7.389,8.794,7.492,8.082,7.86,6.59,7.209,9.424,,6.966,14.701,8.371,,8.011,9.258,8.193,6.783,6.591,,8.458,7.172,,8.175,7.976,8.77,,5.183,6.25
1633289820000,6.645,5.069,8.295,7.871,7.421,6.843,,6.525,6.924,8.063,6.979,17.838,6.915,18.125,,7.201,7.631,7.158,17.624,9.465,7.387,,10.364,8.316,,7.486,,7.522,,6.339,,,,6.21,5.798,6.878
1633289880000,6.176,,,8.464,10.246,8.374,7.128,8.145,8.011,8.675,,18.114,,7.97,7.246,,7.646,,,7.154,7.347,7.369,,,6.535,7.219,,7.52,7.088,18.68,7.48,7.704,7.926,5.967,,5.228
